file_Size_bytes	number_of_files	bandwidth_Gbps	rtt_ms	buffer_size_bytes	p	cc	pp	fast	throughput_MByteps	time_sec	start_time_mm_dd_yyyy_hh_mm
209715259	69	10	39	49920000	1	16	32	1	94.779018886	145.601886034	05:20:2016-13:47
209715259	69	10	39	49920000	1	32	1	0	366.221995031	37.6820728779	05:20:2016-13:47
209715259	69	10	39	49920000	1	32	1	1	372.317749111	37.0651249886	05:20:2016-13:48
209715259	69	10	39	49920000	1	32	2	0	295.883274094	46.6400270462	05:20:2016-13:49
209715259	69	10	39	49920000	1	32	2	1	320.096902185	43.1119570732	05:20:2016-13:50
209715259	69	10	39	49920000	1	32	4	0	253.825244941	54.3681299686	05:20:2016-13:50
209715259	69	10	39	49920000	1	32	4	1	231.078129339	59.7200779915	05:20:2016-13:51
209715259	69	10	39	49920000	1	32	8	0	214.453931332	64.3495030403	05:20:2016-13:53
209715259	69	10	39	49920000	1	32	8	1	209.525314037	65.8631820679	05:20:2016-13:54
209715259	69	10	39	49920000	1	32	16	0	142.997309021	96.5053398609	05:20:2016-13:55
209715259	69	10	39	49920000	1	32	16	1	142.291734223	96.9838759899	05:20:2016-13:57
209715259	69	10	39	49920000	1	32	32	0	104.567795221	131.971835852	05:20:2016-13:59
209715259	69	10	39	49920000	1	32	32	1	98.6235164296	139.926098824	05:20:2016-14:01
209715259	69	10	39	49920000	2	1	1	0	91.3874989166	151.005378962	05:20:2016-14:04
209715259	69	10	39	49920000	2	1	1	1	79.8628987591	172.796180964	05:20:2016-14:07
209715259	69	10	39	49920000	2	1	2	0	89.9718845557	153.381292105	05:20:2016-14:09
209715259	69	10	39	49920000	2	1	2	1	72.5269815989	190.274069071	05:20:2016-14:13
209715259	69	10	39	49920000	2	1	4	0	90.1951164562	153.001675129	05:20:2016-14:15
209715259	69	10	39	49920000	2	1	4	1	78.5183437425	175.755157948	05:20:2016-14:18
209715259	69	10	39	49920000	2	1	8	0	105.239128768	131.129971027	05:20:2016-14:20
209715259	69	10	39	49920000	2	1	8	1	76.1775942801	181.15568018	05:20:2016-14:23
209715259	69	10	39	49920000	2	1	16	0	96.676636573	142.743938923	05:20:2016-14:26
209715259	69	10	39	49920000	2	1	16	1	72.5784389202	190.139166832	05:20:2016-14:29
209715259	69	10	39	49920000	2	1	32	0	87.5942762943	157.54458499	05:20:2016-14:31
209715259	69	10	39	49920000	2	1	32	1	77.0743212537	179.048010826	05:20:2016-14:34
209715259	69	10	39	49920000	2	2	1	0	141.725857359	97.3711090088	05:20:2016-14:36
209715259	69	10	39	49920000	2	2	1	1	127.050267501	108.618456125	05:20:2016-14:38
209715259	69	10	39	49920000	2	2	2	0	132.423145719	104.211418867	05:20:2016-14:40
209715259	69	10	39	49920000	2	2	2	1	130.830445766	105.480064869	05:20:2016-14:41
209715259	69	10	39	49920000	2	2	4	0	133.54738352	103.334139109	05:20:2016-14:43
209715259	69	10	39	49920000	2	2	4	1	142.903142992	96.5689320564	05:20:2016-14:45
209715259	69	10	39	49920000	2	2	8	0	127.388854629	108.329758883	05:20:2016-14:46
209715259	69	10	39	49920000	2	2	8	1	125.991658289	109.531091928	05:20:2016-14:48
209715259	69	10	39	49920000	2	2	16	0	134.841456113	102.342442036	05:20:2016-14:50
209715259	69	10	39	49920000	2	2	16	1	151.465276678	91.1100168228	05:20:2016-14:51
209715259	69	10	39	49920000	2	2	32	0	123.608828013	111.642543077	05:20:2016-14:53
209715259	69	10	39	49920000	2	2	32	1	148.077675366	93.1943581104	05:20:2016-14:55
209715259	69	10	39	49920000	2	4	1	0	199.505545712	69.1710290909	05:20:2016-14:56
209715259	69	10	39	49920000	2	4	1	1	184.687129999	74.7209830284	05:20:2016-14:57
209715259	69	10	39	49920000	2	4	2	0	231.130962482	59.7064268589	05:20:2016-14:58
209715259	69	10	39	49920000	2	4	2	1	222.343617996	62.0661120415	05:20:2016-14:59
209715259	69	10	39	49920000	2	4	4	0	216.720859291	63.6763989925	05:20:2016-15:00
209715259	69	10	39	49920000	2	4	4	1	211.44979969	65.2637360096	05:20:2016-15:01
209715259	69	10	39	49920000	2	4	8	0	199.155082062	69.2927529812	05:20:2016-15:03
209715259	69	10	39	49920000	2	4	8	1	210.918103911	65.4282569885	05:20:2016-15:04
209715259	69	10	39	49920000	2	4	16	0	205.438190319	67.1735079288	05:20:2016-15:05
209715259	69	10	39	49920000	2	4	16	1	126.722631159	108.89928484	05:20:2016-15:07
209715259	69	10	39	49920000	2	4	32	0	148.211808817	93.1100161076	05:20:2016-15:08
209715259	69	10	39	49920000	2	4	32	1	90.0436435688	153.259057045	05:20:2016-15:11
209715259	69	10	39	49920000	2	8	1	0	276.36538903	49.9339079857	05:20:2016-15:12
209715259	69	10	39	49920000	2	8	1	1	319.422988607	43.2029139996	05:20:2016-15:12
209715259	69	10	39	49920000	2	8	2	0	305.64364936	45.1506319046	05:20:2016-15:13
209715259	69	10	39	49920000	2	8	2	1	328.722192723	41.9807491302	05:20:2016-15:14
209715259	69	10	39	49920000	2	8	4	0	342.18165805	40.3294670582	05:20:2016-15:14
209715259	69	10	39	49920000	2	8	4	1	292.107134149	47.2429540157	05:20:2016-15:15
209715259	69	10	39	49920000	2	8	8	0	289.614436337	47.6495718956	05:20:2016-15:16
209715259	69	10	39	49920000	2	8	8	1	222.59791274	61.995208025	05:20:2016-15:17
209715259	69	10	39	49920000	2	8	16	0	219.370779161	62.9072110653	05:20:2016-15:18
209715259	69	10	39	49920000	2	8	16	1	233.876319448	59.0055630207	05:20:2016-15:19
209715259	69	10	39	49920000	2	8	32	0	138.087207784	99.9368741512	05:20:2016-15:21
209715259	69	10	39	49920000	2	8	32	1	136.783456986	100.88942194	05:20:2016-15:22
209715259	69	10	39	49920000	2	16	1	0	405.890309192	33.9993431568	05:20:2016-15:23
209715259	69	10	39	49920000	2	16	1	1	405.719188761	34.0136830807	05:20:2016-15:24
209715259	69	10	39	49920000	2	16	2	0	390.282915133	35.358975172	05:20:2016-15:24
209715259	69	10	39	49920000	2	16	2	1	440.506554841	31.3275790215	05:20:2016-15:25
209715259	69	10	39	49920000	2	16	4	0	345.632033513	39.9268660545	05:20:2016-15:25
209715259	69	10	39	49920000	2	16	4	1	310.159242117	44.4932861328	05:20:2016-15:26
209715259	69	10	39	49920000	2	16	8	0	192.842128581	71.5611469746	05:20:2016-15:27
209715259	69	10	39	49920000	2	16	8	1	352.60313813	39.1374959946	05:20:2016-15:28
209715259	69	10	39	49920000	2	16	16	0	151.47268298	91.1055619717	05:20:2016-15:29
209715259	69	10	39	49920000	2	16	16	1	146.506624074	94.1937198639	05:20:2016-15:31
209715259	69	10	39	49920000	2	16	32	0	163.025060895	84.6495859623	05:20:2016-15:32
209715259	69	10	39	49920000	2	16	32	1	167.848196504	82.2171711922	05:20:2016-15:34
209715259	69	10	39	49920000	2	32	1	0	471.133370811	29.291077137	05:20:2016-15:34
209715259	69	10	39	49920000	2	32	1	1	483.46870197	28.5437378883	05:20:2016-15:35
209715259	69	10	39	49920000	2	32	2	0	430.003098384	32.0928010941	05:20:2016-15:35
209715259	69	10	39	49920000	2	32	2	1	379.206546974	36.3917870522	05:20:2016-15:36
209715259	69	10	39	49920000	2	32	4	0	360.980827496	38.2291879654	05:20:2016-15:37
209715259	69	10	39	49920000	2	32	4	1	413.028614114	33.4117381573	05:20:2016-15:37
209715259	69	10	39	49920000	2	32	8	0	273.36117518	50.4826769829	05:20:2016-15:38
209715259	69	10	39	49920000	2	32	8	1	303.247703087	45.5073649883	05:20:2016-15:39
209715259	69	10	39	49920000	2	32	16	0	240.334819196	57.4199109077	05:20:2016-15:40
209715259	69	10	39	49920000	2	32	16	1	224.173478093	61.5594851971	05:20:2016-15:41
209715259	69	10	39	49920000	2	32	32	0	169.623284763	81.3567779064	05:20:2016-15:42
209715259	69	10	39	49920000	2	32	32	1	166.961859316	82.6536309719	05:20:2016-15:43
209715259	69	10	39	49920000	4	1	1	0	108.109999548	127.64780283	05:20:2016-15:46
209715259	69	10	39	49920000	4	1	1	1	123.870392296	111.406799078	05:20:2016-15:47
209715259	69	10	39	49920000	4	1	2	0	124.211222092	111.101104021	05:20:2016-15:49
209715259	69	10	39	49920000	4	1	2	1	112.339856499	122.841566086	05:20:2016-15:51
209715259	69	10	39	49920000	4	1	4	0	99.6641896065	138.465018988	05:20:2016-15:54
209715259	69	10	39	49920000	4	1	4	1	130.122593005	106.053864956	05:20:2016-15:55
209715259	69	10	39	49920000	4	1	8	0	110.514795155	124.870193958	05:20:2016-15:57
209715259	69	10	39	49920000	4	1	8	1	108.238185678	127.496629953	05:20:2016-16:00
209715259	69	10	39	49920000	4	1	16	0	121.095371183	113.959796906	05:20:2016-16:02
209715259	69	10	39	49920000	4	1	16	1	99.5052233476	138.68622613	05:20:2016-16:04
209715259	69	10	39	49920000	4	1	32	0	117.863986818	117.084143162	05:20:2016-16:06
209715259	69	10	39	49920000	4	1	32	1	122.614613607	112.547791004	05:20:2016-16:08
209715259	69	10	39	49920000	4	2	1	0	161.829618447	85.2748961449	05:20:2016-16:09
209715259	69	10	39	49920000	4	2	1	1	150.93340132	91.4310801029	05:20:2016-16:11
209715259	69	10	39	49920000	4	2	2	0	168.365212216	81.9646987915	05:20:2016-16:12
209715259	69	10	39	49920000	4	2	2	1	160.168728227	86.159165144	05:20:2016-16:13
209715259	69	10	39	49920000	4	2	4	0	159.46805461	86.5377328396	05:20:2016-16:15
209715259	69	10	39	49920000	4	2	4	1	154.997857354	89.0335140228	05:20:2016-16:16
209715259	69	10	39	49920000	4	2	8	0	149.888854438	92.0682458878	05:20:2016-16:18
209715259	69	10	39	49920000	4	2	8	1	155.396167535	88.8053040504	05:20:2016-16:19
209715259	69	10	39	49920000	4	2	16	0	166.82255775	82.7226490974	05:20:2016-16:21
209715259	69	10	39	49920000	4	2	16	1	160.543434104	85.9580709934	05:20:2016-16:22
209715259	69	10	39	49920000	4	2	32	0	120.041502537	114.960273027	05:20:2016-16:24
209715259	69	10	39	49920000	4	2	32	1	154.197154807	89.4958400726	05:20:2016-16:26
209715259	69	10	39	49920000	4	4	1	0	236.368611323	58.3834030628	05:20:2016-16:27
209715259	69	10	39	49920000	4	4	1	1	261.198239652	52.8334491253	05:20:2016-16:27
209715259	69	10	39	49920000	4	4	2	0	247.524299218	55.7521178722	05:20:2016-16:28
209715259	69	10	39	49920000	4	4	2	1	251.744142853	54.8175768852	05:20:2016-16:29
209715259	69	10	39	49920000	4	4	4	0	231.613294365	59.5820889473	05:20:2016-16:30
209715259	69	10	39	49920000	4	4	4	1	244.393766044	56.4662680626	05:20:2016-16:31
209715259	69	10	39	49920000	4	4	8	0	251.307447795	54.9128329754	05:20:2016-16:32
209715259	69	10	39	49920000	4	4	8	1	265.895572924	51.9000890255	05:20:2016-16:33
209715259	69	10	39	49920000	4	4	16	0	161.194443037	85.6109158993	05:20:2016-16:34
209715259	69	10	39	49920000	4	4	16	1	190.21723907	72.5486500263	05:20:2016-16:36
209715259	69	10	39	49920000	4	4	32	0	151.720466649	90.956772089	05:20:2016-16:37
209715259	69	10	39	49920000	4	4	32	1	100.233294375	137.678842068	05:20:2016-16:39
209715259	69	10	39	49920000	4	8	1	0	348.77844194	39.5666768551	05:20:2016-16:40
209715259	69	10	39	49920000	4	8	1	1	356.674980093	38.6906979084	05:20:2016-16:41
209715259	69	10	39	49920000	4	8	2	0	364.080644311	37.903701067	05:20:2016-16:41
209715259	69	10	39	49920000	4	8	2	1	343.368120303	40.1901140213	05:20:2016-16:42
209715259	69	10	39	49920000	4	8	4	0	347.5661874	39.7046790123	05:20:2016-16:43
209715259	69	10	39	49920000	4	8	4	1	361.244087957	38.2013280392	05:20:2016-16:43
209715259	69	10	39	49920000	4	8	8	0	246.330386327	56.0223369598	05:20:2016-16:44
209715259	69	10	39	49920000	4	8	8	1	266.583790594	51.7661027908	05:20:2016-16:45
209715259	69	10	39	49920000	4	8	16	0	174.289311738	79.1787159443	05:20:2016-16:46
209715259	69	10	39	49920000	4	8	16	1	179.39937866	76.9233651161	05:20:2016-16:48
209715259	69	10	39	49920000	4	8	32	0	169.825352686	81.2599749565	05:20:2016-16:49
209715259	69	10	39	49920000	4	8	32	1	170.719571533	80.8343400955	05:20:2016-16:50
209715259	69	10	39	49920000	4	16	1	0	426.583605543	32.3500568867	05:20:2016-16:51
209715259	69	10	39	49920000	4	16	1	1	432.765814715	31.887925148	05:20:2016-16:52
209715259	69	10	39	49920000	4	16	2	0	462.480628575	29.8390960693	05:20:2016-16:52
209715259	69	10	39	49920000	4	16	2	1	387.782459747	35.5869729519	05:20:2016-16:53
209715259	69	10	39	49920000	4	16	4	0	361.009184572	38.2261850834	05:20:2016-16:53
209715259	69	10	39	49920000	4	16	4	1	401.247702849	34.3927299976	05:20:2016-16:54
209715259	69	10	39	49920000	4	16	8	0	367.326514351	37.5687661171	05:20:2016-16:54
209715259	69	10	39	49920000	4	16	8	1	351.423055227	39.2689201832	05:20:2016-16:55
209715259	69	10	39	49920000	4	16	16	0	248.199803448	55.6003820896	05:20:2016-16:56
209715259	69	10	39	49920000	4	16	16	1	241.957271146	57.0348799229	05:20:2016-16:57
209715259	69	10	39	49920000	4	16	32	0	152.994259583	90.199488163	05:20:2016-16:58
209715259	69	10	39	49920000	4	16	32	1	158.012194963	87.3350560665	05:20:2016-17:00
209715259	69	10	39	49920000	4	32	1	0	510.155451487	27.0505859852	05:20:2016-17:00
209715259	69	10	39	49920000	4	32	1	1	493.328622541	27.9732480049	05:20:2016-17:01
209715259	69	10	39	49920000	4	32	2	0	454.351586581	30.3729629517	05:20:2016-17:01
209715259	69	10	39	49920000	4	32	2	1	458.916640975	30.0708291531	05:20:2016-17:02
209715259	69	10	39	49920000	4	32	4	0	432.896333228	31.8783109188	05:20:2016-17:02
209715259	69	10	39	49920000	4	32	4	1	471.302982167	29.2805359364	05:20:2016-17:03
209715259	69	10	39	49920000	4	32	8	0	277.205299766	49.7826120853	05:20:2016-17:04
209715259	69	10	39	49920000	4	32	8	1	286.106237385	48.2338449955	05:20:2016-17:05
209715259	69	10	39	49920000	4	32	16	0	268.000504244	51.4924550056	05:20:2016-17:05
209715259	69	10	39	49920000	4	32	16	1	248.48190439	55.5372591019	05:20:2016-17:06
209715259	69	10	39	49920000	4	32	32	0	191.262959526	72.1519939899	05:20:2016-17:07
209715259	69	10	39	49920000	4	32	32	1	186.282064938	74.0812268257	05:20:2016-17:09
209715259	69	10	39	49920000	8	1	1	0	112.214175546	122.979149818	05:20:2016-17:11
209715259	69	10	39	49920000	8	1	1	1	142.343009987	96.9489398003	05:20:2016-17:12
209715259	69	10	39	49920000	8	1	2	0	116.602344188	118.350998878	05:20:2016-17:14
209715259	69	10	39	49920000	8	1	2	1	160.785671144	85.8285679817	05:20:2016-17:16
209715259	69	10	39	49920000	8	1	4	0	138.167287765	99.8789520264	05:20:2016-17:17
209715259	69	10	39	49920000	8	1	4	1	140.044404617	98.5402019024	05:20:2016-17:19
209715259	69	10	39	49920000	8	1	8	0	135.14846965	102.109953165	05:20:2016-17:21
209715259	69	10	39	49920000	8	1	8	1	110.631913071	124.738003016	05:20:2016-17:23
209715259	69	10	39	49920000	8	1	16	0	135.827503803	101.599481106	05:20:2016-17:25
209715259	69	10	39	49920000	8	1	16	1	113.378273541	121.716475964	05:20:2016-17:27
209715259	69	10	39	49920000	8	1	32	0	154.993588566	89.0359661579	05:20:2016-17:28
209715259	69	10	39	49920000	8	1	32	1	135.940511647	101.515021086	05:20:2016-17:30
209715259	69	10	39	49920000	8	2	1	0	181.586959681	75.9966681004	05:20:2016-17:31
209715259	69	10	39	49920000	8	2	1	1	175.948487819	78.4320688248	05:20:2016-17:32
209715259	69	10	39	49920000	8	2	2	0	198.698123007	69.4521100521	05:20:2016-17:34
209715259	69	10	39	49920000	8	2	2	1	186.370206545	74.0461909771	05:20:2016-17:35
209715259	69	10	39	49920000	8	2	4	0	184.41781037	74.8301038742	05:20:2016-17:36
209715259	69	10	39	49920000	8	2	4	1	186.723827919	73.9059607983	05:20:2016-17:37
209715259	69	10	39	49920000	8	2	8	0	199.215965877	69.2715759277	05:20:2016-17:38
209715259	69	10	39	49920000	8	2	8	1	190.430265619	72.4674928188	05:20:2016-17:40
209715259	69	10	39	49920000	8	2	16	0	179.852989626	76.7293550968	05:20:2016-17:41
