file_size,number_of_files,bandwidth,rtt,buffer_size,p,cc,pp,throughput,time,source,destination
1048656,256,10000,0.04,33554432,2,2,32,428.3927147,4.7810659410000005,Stampede,Gordon/oasis
512072,512,10000,0.04,33554432,2,8,1,431.87946439999996,4.631651878,Stampede,Gordon/oasis
1048641,1000,10000,0.04,33554432,32,1,4,583.6454255,13.70789504,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,2,2,16,408.86600269999997,5.009401083,Stampede,Gordon/oasis
256096,128,10000,0.04,33554432,1,16,1,63.08594314,3.964379072,Stampede,Gordon/oasis
1048672,128,10000,0.04,33554432,32,8,16,187.4817122,5.462437153,Stampede,Gordon/oasis
256072,512,10000,0.04,33554432,8,2,32,213.38614840000002,4.687741995,Stampede,Gordon/oasis
256080,256,10000,0.04,33554432,1,2,4,144.94534819999998,3.450714827,Stampede,Gordon/oasis
1048641,1000,10000,0.04,33554432,4,8,4,993.3904035,8.053798914,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,32,16,1,495.39335719999997,4.134446859,Stampede,Gordon/oasis
1048641,1000,10000,0.04,33554432,16,8,2,916.5715398,8.728798151,Stampede,Gordon/oasis
512096,128,10000,0.04,33554432,32,1,2,91.50514699,5.4652781489999995,Stampede,Gordon/oasis
512080,256,10000,0.04,33554432,32,8,8,216.4929912,4.619850874,Stampede,Gordon/oasis
512069,1000,10000,0.04,33554432,4,2,2,330.23769310000006,11.83027506,Stampede,Gordon/oasis
104857664,64,10000,0.04,33554432,2,16,8,2171.2935620000003,23.58049989,Stampede,Gordon/Oasis
256096,128,10000,0.04,33554432,8,32,8,67.15527023,3.724181891,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,16,2,16,234.03504930000003,8.347783089,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,8,2,8,312.9819703,6.242144822999999,Stampede,Gordon/oasis
1048641,1000,10000,0.04,33554432,1,32,16,1061.5433679999999,7.536747932000001,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,32,4,4,304.1154998,6.424132108999999,Stampede,Gordon/oasis
256096,128,10000,0.04,33554432,2,32,4,69.23938116,3.6120848660000004,Stampede,Gordon/oasis
1073742080,16,10000,0.04,33554432,1,32,4,3974.6433079999997,32.97709608,Stampede,Gordon/Oasis
256096,128,10000,0.04,33554432,1,1,32,86.66273542,2.8858690260000004,Stampede,Gordon/oasis
256072,512,10000,0.04,33554432,32,8,4,243.5120458,4.107765913,Stampede,Gordon/oasis
256096,128,10000,0.04,33554432,1,2,32,91.11905527,2.7447359560000004,Stampede,Gordon/oasis
1073742080,16,10000,0.04,33554432,2,8,8,2865.198723,45.74626517,Stampede,Gordon/Oasis
512069,1000,10000,0.04,33554432,8,2,8,497.19442919999995,7.857722044,Stampede,Gordon/oasis
1073742080,16,10000,0.04,33554432,4,1,2,1222.248832,107.238456,Stampede,Gordon/Oasis
256072,512,10000,0.04,33554432,16,8,2,202.6794491,4.9353899960000005,Stampede,Gordon/oasis
512080,256,10000,0.04,33554432,1,8,8,352.50444100000004,2.837332964,Stampede,Gordon/oasis
512069,1000,10000,0.04,33554432,8,4,8,697.6396099,5.600069046000001,Stampede,Gordon/oasis
512080,256,10000,0.04,33554432,2,32,16,242.78702059999998,4.119548082,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,32,2,1,287.03246160000003,7.135704994,Stampede,Gordon/oasis
1048641,1000,10000,0.04,33554432,2,2,2,527.2050077,15.1753571,Stampede,Gordon/oasis
1048640,512,10000,0.04,33554432,2,1,32,232.5275915,17.61623096,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,2,4,32,454.2675638,4.300712109,Stampede,Gordon/oasis
104857664,64,10000,0.04,33554432,8,32,8,2922.204584,17.52106905,Stampede,Gordon/Oasis
256096,128,10000,0.04,33554432,8,8,2,84.54500324,2.95818305,Stampede,Gordon/oasis
512080,256,10000,0.04,33554432,2,16,4,285.2938123,3.505779982,Stampede,Gordon/oasis
104857664,64,10000,0.04,33554432,2,1,4,1069.399589,47.87740016,Stampede,Gordon/Oasis
512072,512,10000,0.04,33554432,1,16,8,567.1253546,3.527130127,Stampede,Gordon/oasis
256096,128,10000,0.04,33554432,1,32,16,73.09442272,3.42158699,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,2,8,2,352.20101769999997,5.547028065,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,8,2,32,246.28211890000003,7.932668924,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,2,2,1,132.4138731,14.75423479,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,2,1,1,72.06103338,27.11117101,Stampede,Gordon/oasis
512096,128,10000,0.04,33554432,2,16,8,129.2154096,3.870301008,Stampede,Gordon/oasis
512096,128,10000,0.04,33554432,4,2,2,133.75607309999998,3.738888025,Stampede,Gordon/oasis
512072,512,10000,0.04,33554432,16,2,1,178.8849757,11.18202186,Stampede,Gordon/oasis
256072,512,10000,0.04,33554432,8,4,2,185.4068875,5.3951389789999995,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,8,2,2,164.7380128,11.85923886,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,2,8,4,470.0968568,4.155896902,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,32,4,16,367.32176339999995,5.318723917,Stampede,Gordon/oasis
512080,256,10000,0.04,33554432,8,1,8,188.1250784,5.316525936000001,Stampede,Gordon/oasis
1073742080,16,10000,0.04,33554432,8,4,2,3380.944169,38.76791692,Stampede,Gordon/Oasis
512080,256,10000,0.04,33554432,4,16,2,173.9813659,5.748687029,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,32,8,32,334.9545457,6.114766836,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,16,4,16,430.6625409,4.536440133999999,Stampede,Gordon/oasis
256096,128,10000,0.04,33554432,16,1,1,44.22403889,5.655225992,Stampede,Gordon/oasis
512072,512,10000,0.04,33554432,1,8,4,491.00246799999996,4.073911905,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,8,16,1,487.77179069999994,4.19907999,Stampede,Gordon/oasis
1048641,1000,10000,0.04,33554432,4,32,4,1243.126364,6.435864925,Stampede,Gordon/oasis
256072,512,10000,0.04,33554432,8,4,8,229.5125861,4.358354092,Stampede,Gordon/oasis
256072,512,10000,0.04,33554432,32,4,8,208.94659719999999,4.7873330119999995,Stampede,Gordon/oasis
512096,128,10000,0.04,33554432,2,4,1,128.12732140000003,3.9031751160000003,Stampede,Gordon/oasis
512096,128,10000,0.04,33554432,4,2,16,132.23154409999998,3.7820270060000003,Stampede,Gordon/oasis
256096,128,10000,0.04,33554432,4,2,16,86.23256429999999,2.900260925,Stampede,Gordon/oasis
256072,512,10000,0.04,33554432,8,16,32,260.5085639,3.839769125,Stampede,Gordon/oasis
512080,256,10000,0.04,33554432,1,32,32,241.41943340000003,4.142850876000001,Stampede,Gordon/oasis
256096,128,10000,0.04,33554432,1,32,32,64.2025791,3.895457983,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,4,4,8,413.34740089999997,4.726503849,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,32,1,2,257.1923267,7.963562965,Stampede,Gordon/oasis
512072,512,10000,0.04,33554432,4,4,1,315.6739566,6.336607933,Stampede,Gordon/oasis
1073742080,16,10000,0.04,33554432,16,8,1,6049.147984,21.66789103,Stampede,Gordon/Oasis
512080,256,10000,0.04,33554432,16,2,16,187.0872077,5.346011877,Stampede,Gordon/oasis
1048640,512,10000,0.04,33554432,4,4,8,655.7713079,6.2465012070000006,Stampede,Gordon/oasis
512096,128,10000,0.04,33554432,1,32,8,150.69178190000002,3.318729162,Stampede,Gordon/oasis
1048640,512,10000,0.04,33554432,4,1,2,363.63718589999996,11.26475,Stampede,Gordon/oasis
1073742080,16,10000,0.04,33554432,1,32,4,3468.7867770000003,37.78617191,Stampede,Gordon/Oasis
256080,256,10000,0.04,33554432,1,1,4,114.324201,4.374933958,Stampede,Gordon/oasis
1073742080,16,10000,0.04,33554432,32,8,8,3339.2502670000003,39.25198388,Stampede,Gordon/Oasis
1048641,1000,10000,0.04,33554432,1,1,8,546.3330116000001,14.64408994,Stampede,Gordon/oasis
1048641,1000,10000,0.04,33554432,2,16,4,1159.019409,6.9028871060000005,Stampede,Gordon/oasis
1048640,512,10000,0.04,33554432,2,8,32,564.3522942000001,7.25836587,Stampede,Gordon/oasis
256080,256,10000,0.04,33554432,1,32,16,156.0707275,3.204716921,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,32,2,32,373.16891880000003,5.488632917,Stampede,Gordon/oasis
512072,512,10000,0.04,33554432,4,32,8,428.8798789,4.664044142,Stampede,Gordon/oasis
1048641,1000,10000,0.04,33554432,32,2,4,885.7402335,9.032601833,Stampede,Gordon/oasis
512069,1000,10000,0.04,33554432,16,1,4,259.448555,15.05810094,Stampede,Gordon/oasis
512080,256,10000,0.04,33554432,4,16,8,305.9285338,3.269325018,Stampede,Gordon/oasis
512080,256,10000,0.04,33554432,16,2,1,178.6119642,5.599651098,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,16,4,8,359.9398312,5.42780304,Stampede,Gordon/oasis
1048640,512,10000,0.04,33554432,8,8,2,581.4277057999999,7.045228005,Stampede,Gordon/oasis
1073742080,16,10000,0.04,33554432,4,2,4,2400.401613,54.60424995,Stampede,Gordon/Oasis
104857664,64,10000,0.04,33554432,1,32,4,622.2400191,82.28345108,Stampede,Gordon/Oasis
1048672,128,10000,0.04,33554432,1,1,16,288.0815934,3.55492115,Stampede,Gordon/oasis
256096,128,10000,0.04,33554432,16,4,32,68.50460865,3.6507980819999997,Stampede,Gordon/oasis
256080,256,10000,0.04,33554432,16,16,4,141.73120500000002,3.528979063,Stampede,Gordon/oasis
256080,256,10000,0.04,33554432,1,4,8,152.4406891,3.2810330389999995,Stampede,Gordon/oasis
104857664,64,10000,0.04,33554432,1,32,16,723.5726526000001,70.76009011,Stampede,Gordon/Oasis
1073742080,16,10000,0.04,33554432,8,1,32,1307.322555,100.2599409,Stampede,Gordon/Oasis
104857664,64,10000,0.04,33554432,1,1,32,823.2146417,62.1952939,Stampede,Gordon/Oasis
1048641,1000,10000,0.04,33554432,4,16,2,839.9019193,9.525561094,Stampede,Gordon/oasis
512096,128,10000,0.04,33554432,8,32,2,151.476269,3.3015060430000003,Stampede,Gordon/oasis
512080,256,10000,0.04,33554432,32,8,32,202.09757439999998,4.948951006000001,Stampede,Gordon/oasis
1073742080,16,10000,0.04,33554432,16,2,2,3006.3308899999997,43.59871387,Stampede,Gordon/Oasis
256096,128,10000,0.04,33554432,8,8,32,74.17567763,3.371678829,Stampede,Gordon/oasis
1048672,128,10000,0.04,33554432,8,1,4,226.5138922,4.52115202,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,1,1,1,158.81148159999998,12.89681697,Stampede,Gordon/oasis
1048640,512,10000,0.04,33554432,2,16,2,633.3874053,6.467252016000001,Stampede,Gordon/oasis
1073742080,16,10000,0.04,33554432,1,16,8,3699.212365,35.43246293,Stampede,Gordon/Oasis
1048640,512,10000,0.04,33554432,8,32,16,597.1930838,6.859207869,Stampede,Gordon/oasis
104857664,64,10000,0.04,33554432,1,8,1,1749.479508,29.265908000000003,Stampede,Gordon/Oasis
512080,256,10000,0.04,33554432,1,16,4,313.5421676,3.1899421219999997,Stampede,Gordon/oasis
