exp_id,transfer_id,type,file_size,num_files,bandwidth,tcp_bs,rtt,cc,p,pp,throughput,source,destination
exp_ch,66,I,782936832,48,10,212992,0.036,24,20,32,1649.852587,chi,tacc
exp_ch,66,C,771837269,24,10,212992,0.036,24,20,32,1409.477794,chi,tacc
exp_ch,66,C,10521861,1112,10,212992,0.036,24,20,32,889.8950343,chi,tacc
exp_ch,67,I,10497940,3500,10,212992,0.036,4,24,32,635.1025879,chi,tacc
exp_ch,67,I,782936832,48,10,212992,0.036,4,24,32,1458.138328,chi,tacc
exp_ch,67,C,10527551,1340,10,212992,0.036,4,24,32,1073.361779,chi,tacc
exp_ch,67,C,734240572,21,10,212992,0.036,4,24,32,1172.856548,chi,tacc
exp_ch,68,I,10497940,3500,10,212992,0.036,8,24,32,537.6075378,chi,tacc
exp_ch,68,I,782936832,48,10,212992,0.036,8,24,32,1153.108979,chi,tacc
exp_ch,68,C,771564885,21,10,212992,0.036,8,24,32,1232.913877,chi,tacc
exp_ch,68,C,10554324,1481,10,212992,0.036,8,24,32,1188.890057,chi,tacc
exp_ch,69,I,10497940,3500,10,212992,0.036,12,24,32,806.2969707,chi,tacc
exp_ch,69,I,782936832,48,10,212992,0.036,12,24,32,1869.838964,chi,tacc
exp_ch,69,C,10532858,1486,10,212992,0.036,12,24,32,1190.861175,chi,tacc
exp_ch,69,C,741830265,21,10,212992,0.036,12,24,32,1184.926357,chi,tacc
exp_ch,70,I,10497940,3500,10,212992,0.036,16,24,32,756.819577,chi,tacc
exp_ch,70,I,782936832,48,10,212992,0.036,16,24,32,1970.895037,chi,tacc
exp_ch,70,C,776857061,19,10,212992,0.036,16,24,32,1123.111887,chi,tacc
exp_ch,70,C,10523473,1592,10,212992,0.036,16,24,32,1274.211686,chi,tacc
exp_ch,71,I,10497940,3500,10,212992,0.036,20,24,32,826.5838553,chi,tacc
exp_ch,71,I,782936832,48,10,212992,0.036,20,24,32,1842.508677,chi,tacc
exp_ch,71,C,781838433,21,10,212992,0.036,20,24,32,1249.306713,chi,tacc
exp_ch,71,C,10495860,1397,10,212992,0.036,20,24,32,1115.227454,chi,tacc
exp_ch,72,I,10497940,3500,10,212992,0.036,24,24,32,746.2947546,chi,tacc
exp_ch,72,I,782936832,48,10,212992,0.036,24,24,32,1666.965017,chi,tacc
exp_ch,72,C,795425505,25,10,212992,0.036,24,24,32,1513.093078,chi,tacc
exp_ch,72,C,10461653,986,10,212992,0.036,24,24,32,784.5578772,chi,tacc
exp_ch,73,I,10497940,3500,10,212992,0.036,4,4,32,637.5627555,chi,tacc
exp_ch,73,I,782936832,48,10,212992,0.036,4,4,32,1406.76033,chi,tacc
exp_ch,73,C,734626048,16,10,212992,0.036,4,4,32,894.3918024,chi,tacc
exp_ch,73,C,10556547,1691,10,212992,0.036,4,4,32,1357.73777,chi,tacc
exp_ch,74,I,10497940,3500,10,212992,0.036,8,4,32,573.8628897,chi,tacc
exp_ch,74,I,782936832,48,10,212992,0.036,8,4,32,1102.44427,chi,tacc
exp_ch,74,C,777329920,16,10,212992,0.036,8,4,32,946.3652753,chi,tacc
exp_ch,74,C,10532646,1544,10,212992,0.036,8,4,32,1236.877414,chi,tacc
exp_ch,75,I,10497940,3500,10,212992,0.036,12,4,32,664.6301404,chi,tacc
exp_ch,75,I,782936832,48,10,212992,0.036,12,4,32,1737.997191,chi,tacc
exp_ch,75,C,731813767,17,10,212992,0.036,12,4,32,946.6344645,chi,tacc
exp_ch,75,C,10480213,1827,10,212992,0.036,12,4,32,1456.285652,chi,tacc
exp_ch,76,I,10497940,3500,10,212992,0.036,16,4,32,826.3610619,chi,tacc
exp_ch,76,I,782936832,48,10,212992,0.036,16,4,32,1692.924938,chi,tacc
exp_ch,76,C,779924901,17,10,212992,0.036,16,4,32,1008.877595,chi,tacc
exp_ch,76,C,10504341,1676,10,212992,0.036,16,4,32,1339.049496,chi,tacc
exp_ch,77,I,10497940,3500,10,212992,0.036,20,4,32,738.7134153,chi,tacc
exp_ch,77,I,782936832,48,10,212992,0.036,20,4,32,1620.700316,chi,tacc
exp_ch,77,C,716045107,20,10,212992,0.036,20,4,32,1089.704753,chi,tacc
exp_ch,77,C,10450103,1537,10,212992,0.036,20,4,32,1221.590175,chi,tacc
exp_ch,78,I,10497940,3500,10,212992,0.036,24,4,32,697.1890668,chi,tacc
exp_ch,78,I,782936832,48,10,212992,0.036,24,4,32,1417.938655,chi,tacc
exp_ch,78,C,612480682,24,10,212992,0.036,24,4,32,1118.502847,chi,tacc
exp_ch,78,C,10447582,1422,10,212992,0.036,24,4,32,1129.950658,chi,tacc
exp_ch,79,I,10497940,3500,10,212992,0.036,4,8,32,538.5860533,chi,tacc
exp_ch,79,I,782936832,48,10,212992,0.036,4,8,32,1176.050101,chi,tacc
exp_ch,79,C,756534002,19,10,212992,0.036,4,8,32,1093.758386,chi,tacc
exp_ch,79,C,10557892,1674,10,212992,0.036,4,8,32,1344.253433,chi,tacc
exp_ch,80,I,10497940,3500,10,212992,0.036,8,8,32,814.0874982,chi,tacc
exp_ch,80,I,782936832,48,10,212992,0.036,8,8,32,1829.409878,chi,tacc
exp_ch,80,C,751462263,15,10,212992,0.036,8,8,32,857.7190492,chi,tacc
exp_ch,80,C,10488783,1933,10,212992,0.036,8,8,32,1542.06386,chi,tacc
exp_ch,81,I,10497940,3500,10,212992,0.036,12,8,32,814.1157815,chi,tacc
exp_ch,81,I,782936832,48,10,212992,0.036,12,8,32,1708.864392,chi,tacc
exp_ch,81,C,755736094,17,10,212992,0.036,12,8,32,974.8447571,chi,tacc
exp_ch,81,C,10530733,1730,10,212992,0.036,12,8,32,1381.760629,chi,tacc
exp_ch,82,I,10497940,3500,10,212992,0.036,16,8,32,758.9281795,chi,tacc
exp_ch,82,I,782936832,48,10,212992,0.036,16,8,32,1541.564149,chi,tacc
exp_ch,82,C,766822038,17,10,212992,0.036,16,8,32,991.9200513,chi,tacc
exp_ch,82,C,10500498,1658,10,212992,0.036,16,8,32,1324.149133,chi,tacc
exp_ch,83,I,10497940,3500,10,212992,0.036,20,8,32,692.9724792,chi,tacc
exp_ch,83,I,782936832,48,10,212992,0.036,20,8,32,1299.992722,chi,tacc
exp_ch,83,C,768922624,20,10,212992,0.036,20,8,32,1170.165234,chi,tacc
exp_ch,83,C,10443393,1337,10,212992,0.036,20,8,32,1059.328401,chi,tacc
exp_ch,84,I,10497940,3500,10,212992,0.036,24,8,32,560.423636,chi,tacc
exp_ch,84,I,782936832,48,10,212992,0.036,24,8,32,1213.667813,chi,tacc
exp_ch,84,C,796217016,25,10,212992,0.036,24,8,32,1514.596341,chi,tacc
exp_ch,84,C,10541350,1133,10,212992,0.036,24,8,32,908.3895134,chi,tacc
exp_ch,85,I,10497940,3500,10,212992,0.036,4,12,32,770.7291132,chi,tacc
exp_ch,85,I,782936832,48,10,212992,0.036,4,12,32,1892.239202,chi,tacc
exp_ch,85,C,739927859,20,10,212992,0.036,4,12,32,1126.061891,chi,tacc
exp_ch,85,C,10566829,1580,10,212992,0.036,4,12,32,1269.84711,chi,tacc
exp_ch,86,I,10497940,3500,10,212992,0.036,8,12,32,752.7070867,chi,tacc
exp_ch,86,I,782936832,48,10,212992,0.036,8,12,32,1650.911997,chi,tacc
exp_ch,86,C,772905642,15,10,212992,0.036,8,12,32,882.1720415,chi,tacc
exp_ch,86,C,10492862,1831,10,212992,0.036,8,12,32,1461.219216,chi,tacc
exp_ch,87,I,10497940,3500,10,212992,0.036,12,12,32,760.3530787,chi,tacc
exp_ch,87,I,782936832,48,10,212992,0.036,12,12,32,1422.443675,chi,tacc
exp_ch,87,C,771100928,16,10,212992,0.036,12,12,32,938.8039966,chi,tacc
exp_ch,87,C,10461990,1665,10,212992,0.036,12,12,32,1324.883834,chi,tacc
exp_ch,88,I,10497940,3500,10,212992,0.036,16,12,32,623.1080092,chi,tacc
exp_ch,88,I,782936832,48,10,212992,0.036,16,12,32,1075.198543,chi,tacc
exp_ch,88,C,759968225,17,10,212992,0.036,16,12,32,983.0382243,chi,tacc
exp_ch,88,C,10512193,1473,10,212992,0.036,16,12,32,1177.68978,chi,tacc
exp_ch,89,I,10497940,3500,10,212992,0.036,20,12,32,743.5191279,chi,tacc
exp_ch,89,I,782936832,48,10,212992,0.036,20,12,32,1835.343766,chi,tacc
exp_ch,89,C,752747861,21,10,212992,0.036,20,12,32,1202.761985,chi,tacc
exp_ch,89,C,10452159,1451,10,212992,0.036,20,12,32,1153.454556,chi,tacc
exp_ch,90,I,10497940,3500,10,212992,0.036,24,12,32,788.461925,chi,tacc
exp_ch,90,I,782936832,48,10,212992,0.036,24,12,32,1817.406814,chi,tacc
exp_ch,90,C,670282219,25,10,212992,0.036,24,12,32,1275.053922,chi,tacc
exp_ch,90,C,10448855,1326,10,212992,0.036,24,12,32,1053.786524,chi,tacc
exp_ch,91,I,10497940,3500,10,212992,0.036,4,16,32,703.72738,chi,tacc
exp_ch,91,I,782936832,48,10,212992,0.036,4,16,32,1589.880779,chi,tacc
exp_ch,91,C,10543041,1568,10,212992,0.036,4,16,32,1257.818667,chi,tacc
exp_ch,91,C,720482304,19,10,212992,0.036,4,16,32,1041.260464,chi,tacc
exp_ch,92,I,10497940,3500,10,212992,0.036,8,16,32,614.3022599,chi,tacc
exp_ch,92,I,782936832,48,10,212992,0.036,8,16,32,1280.375317,chi,tacc
exp_ch,92,C,755611355,14,10,212992,0.036,8,16,32,804.9403553,chi,tacc
exp_ch,92,C,10538989,1736,10,212992,0.036,8,16,32,1391.518468,chi,tacc
exp_ch,93,I,10497940,3500,10,212992,0.036,12,16,32,632.2787865,chi,tacc
exp_ch,93,I,782936832,48,10,212992,0.036,12,16,32,1939.136636,chi,tacc
exp_ch,93,C,730963968,21,10,212992,0.036,12,16,32,1168.032767,chi,tacc
exp_ch,93,C,10482964,1537,10,212992,0.036,12,16,32,1225.491511,chi,tacc
exp_ch,94,I,10497940,3500,10,212992,0.036,16,16,32,804.82698,chi,tacc
exp_ch,94,I,782936832,48,10,212992,0.036,16,16,32,1800.431142,chi,tacc
exp_ch,94,C,771854791,18,10,212992,0.036,16,16,32,1057.10997,chi,tacc
exp_ch,94,C,10502838,1617,10,212992,0.036,16,16,32,1291.646186,chi,tacc
exp_ch,95,I,10497940,3500,10,212992,0.036,20,16,32,766.8138367,chi,tacc
exp_ch,95,I,782936832,48,10,212992,0.036,20,16,32,1628.679346,chi,tacc
exp_ch,95,C,765997056,21,10,212992,0.036,20,16,32,1223.997087,chi,tacc
exp_ch,95,C,10459658,1356,10,212992,0.036,20,16,32,1078.769097,chi,tacc
exp_ch,96,I,10497940,3500,10,212992,0.036,24,16,32,663.1953424,chi,tacc
exp_ch,96,I,782936832,48,10,212992,0.036,24,16,32,1405.584254,chi,tacc
exp_ch,96,C,702222336,24,10,212992,0.036,24,16,32,1282.349428,chi,tacc
exp_ch,96,C,10528150,1151,10,212992,0.036,24,16,32,921.6607705,chi,tacc
exp_ch,97,I,10497940,3500,10,212992,0.036,4,20,32,535.5437669,chi,tacc
exp_ch,97,I,782936832,48,10,212992,0.036,4,20,32,1271.288758,chi,tacc
exp_ch,97,C,767581649,22,10,212992,0.036,4,20,32,1284.974711,chi,tacc
exp_ch,97,C,10556803,1434,10,212992,0.036,4,20,32,1151.456321,chi,tacc
exp_ch,98,I,10497940,3500,10,212992,0.036,8,20,32,785.2485918,chi,tacc
exp_ch,98,I,782936832,48,10,212992,0.036,8,20,32,1872.597824,chi,tacc
exp_ch,98,C,755600725,18,10,212992,0.036,8,20,32,1034.905381,chi,tacc
exp_ch,98,C,10494569,1692,10,212992,0.036,8,20,32,1350.52937,chi,tacc
exp_ch,99,I,10497940,3500,10,212992,0.036,12,20,32,776.6853456,chi,tacc
exp_ch,99,I,782936832,48,10,212992,0.036,12,20,32,1646.446162,chi,tacc
exp_ch,99,C,746024744,19,10,212992,0.036,12,20,32,1078.572616,chi,tacc
exp_ch,99,C,10542575,1565,10,212992,0.036,12,20,32,1254.91097,chi,tacc
exp_ch,100,I,10497940,3500,10,212992,0.036,16,20,32,702.5125995,chi,tacc
exp_ch,100,I,782936832,48,10,212992,0.036,16,20,32,1483.055266,chi,tacc
exp_ch,100,C,744536064,18,10,212992,0.036,16,20,32,1019.800834,chi,tacc
exp_ch,100,C,10518192,1538,10,212992,0.036,16,20,32,1228.91506,chi,tacc
exp_ch,101,I,10497940,3500,10,212992,0.036,20,20,32,619.5902341,chi,tacc
exp_ch,101,I,782936832,48,10,212992,0.036,20,20,32,1206.258377,chi,tacc
exp_ch,101,C,775827260,21,10,212992,0.036,20,20,32,1239.710023,chi,tacc
exp_ch,101,C,10484719,1149,10,212992,0.036,20,20,32,916.2796282,chi,tacc
exp_ch,102,I,10497940,3500,10,212992,0.036,24,20,32,679.6082317,chi,tacc
exp_ch,102,I,782936832,48,10,212992,0.036,24,20,32,1934.840182,chi,tacc
exp_ch,102,C,781764034,25,10,212992,0.036,24,20,32,1487.155973,chi,tacc
exp_ch,102,C,10512595,1111,10,212992,0.036,24,20,32,888.3575124,chi,tacc
exp_ch,103,I,10497940,3500,10,212992,0.036,4,24,32,751.8662575,chi,tacc
exp_ch,103,I,782936832,48,10,212992,0.036,4,24,32,1789.687092,chi,tacc
exp_ch,103,C,762096469,24,10,212992,0.036,4,24,32,1391.7403,chi,tacc
exp_ch,103,C,10539358,1216,10,212992,0.036,4,24,32,974.7611016,chi,tacc
exp_ch,104,I,10497940,3500,10,212992,0.036,8,24,32,682.400245,chi,tacc
exp_ch,104,I,782936832,48,10,212992,0.036,8,24,32,1574.528538,chi,tacc
exp_ch,104,C,749400710,19,10,212992,0.036,8,24,32,1083.444776,chi,tacc
exp_ch,104,C,10551674,1514,10,212992,0.036,8,24,32,1215.059012,chi,tacc
exp_ch,105,I,10497940,3500,10,212992,0.036,12,24,32,648.6515856,chi,tacc
exp_ch,105,I,782936832,48,10,212992,0.036,12,24,32,1324.773619,chi,tacc
exp_ch,105,C,727681901,21,10,212992,0.036,12,24,32,1162.783439,chi,tacc
exp_ch,105,C,10493671,1298,10,212992,0.036,12,24,32,1035.989194,chi,tacc
exp_ch,106,I,10497940,3500,10,212992,0.036,16,24,32,522.7279728,chi,tacc
