,exp_id,transfer_id,type,file_size,num_files,bandwidth,tcp_bs,rtt,cc,p,pp,throughput,source,destination
26,amazon_east_west_cont_1,6,C,4180676608,200,10,79616000,62.2,10,5,32,227.41559137729803,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
27,amazon_east_west_cont_1,6,C,7235178496,25,10,79616000,62.2,25,10,32,429.77917816397843,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
28,amazon_east_west_cont_1,7,I,4180676608,200,10,79616000,62.2,10,5,32,661.4198665906197,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
29,amazon_east_west_cont_1,7,I,7235178496,25,10,79616000,62.2,5,15,32,555.5248622759065,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
30,amazon_east_west_cont_1,7,C,4180676608,200,10,79616000,62.2,10,5,32,304.4257416762745,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
31,amazon_east_west_cont_1,7,C,7235178496,25,10,79616000,62.2,5,15,32,403.62035083585886,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
32,amazon_east_west_cont_1,8,I,4180676608,200,10,79616000,62.2,10,5,32,637.7132114198793,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
33,amazon_east_west_cont_1,8,I,7235178496,25,10,79616000,62.2,10,15,32,593.9996978147271,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
34,amazon_east_west_cont_1,8,C,4180676608,200,10,79616000,62.2,10,5,32,228.67108955786685,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
35,amazon_east_west_cont_1,8,C,7235178496,25,10,79616000,62.2,10,15,32,418.8735220060881,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
36,amazon_east_west_cont_1,9,I,4180676608,200,10,79616000,62.2,10,5,32,653.5659469944726,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
37,amazon_east_west_cont_1,9,I,7235178496,25,10,79616000,62.2,20,15,32,584.561166268719,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
38,amazon_east_west_cont_1,9,C,4180676608,200,10,79616000,62.2,10,5,32,229.5986291129936,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
39,amazon_east_west_cont_1,9,C,7235178496,25,10,79616000,62.2,20,15,32,463.3863148873143,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
40,amazon_east_west_cont_1,10,I,4180676608,200,10,79616000,62.2,10,5,32,642.8385412919414,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
41,amazon_east_west_cont_1,10,I,7235178496,25,10,79616000,62.2,25,15,32,589.6847554913586,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
42,amazon_east_west_cont_1,10,C,4180676608,200,10,79616000,62.2,10,5,32,229.61666620605448,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
43,amazon_east_west_cont_1,10,C,7235178496,25,10,79616000,62.2,25,15,32,458.9190486214877,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
44,amazon_east_west_cont_1,11,I,4180676608,200,10,79616000,62.2,10,5,32,657.9944941128738,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
45,amazon_east_west_cont_1,11,I,7235178496,25,10,79616000,62.2,5,20,32,601.4372235641052,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
46,amazon_east_west_cont_1,11,C,4180676608,200,10,79616000,62.2,10,5,32,268.17849203652116,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
47,amazon_east_west_cont_1,11,C,7235178496,25,10,79616000,62.2,5,20,32,386.7732832327726,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
48,amazon_east_west_cont_1,12,I,4180676608,200,10,79616000,62.2,10,5,32,655.7033812928674,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
49,amazon_east_west_cont_1,12,I,7235178496,25,10,79616000,62.2,10,20,32,598.4542170180346,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
50,amazon_east_west_cont_1,12,C,4180676608,200,10,79616000,62.2,10,5,32,231.46896208143485,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
51,amazon_east_west_cont_1,12,C,7235178496,25,10,79616000,62.2,10,20,32,444.9180132856905,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
52,amazon_east_west_cont_1,13,I,4180676608,200,10,79616000,62.2,10,5,32,656.169816103935,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
53,amazon_east_west_cont_1,13,I,7235178496,25,10,79616000,62.2,15,20,32,592.8415373844417,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
54,amazon_east_west_cont_1,13,C,4180676608,200,10,79616000,62.2,10,5,32,226.16913869008286,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
55,amazon_east_west_cont_1,13,C,7235178496,25,10,79616000,62.2,15,20,32,459.50596759919813,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
56,amazon_east_west_cont_1,14,I,4180676608,200,10,79616000,62.2,10,5,32,648.1068781612867,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
57,amazon_east_west_cont_1,14,I,7235178496,25,10,79616000,62.2,25,20,32,592.3511214035094,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
58,amazon_east_west_cont_1,14,C,4180676608,200,10,79616000,62.2,10,5,32,228.95604303095786,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
59,amazon_east_west_cont_1,14,C,7235178496,25,10,79616000,62.2,25,20,32,472.65448385285674,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
60,amazon_east_west_cont_1,15,I,4180676608,200,10,79616000,62.2,10,5,32,643.8558642340066,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
61,amazon_east_west_cont_1,15,I,7235178496,25,10,79616000,62.2,5,25,32,599.5416004135637,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
62,amazon_east_west_cont_1,15,C,4180676608,200,10,79616000,62.2,10,5,32,263.4501749370867,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
63,amazon_east_west_cont_1,15,C,7235178496,25,10,79616000,62.2,5,25,32,390.0099946894118,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
64,amazon_east_west_cont_1,16,I,4180676608,200,10,79616000,62.2,10,5,32,647.1406023936825,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
65,amazon_east_west_cont_1,16,I,7235178496,25,10,79616000,62.2,10,25,32,593.0965790914431,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
66,amazon_east_west_cont_1,16,C,4180676608,200,10,79616000,62.2,10,5,32,229.00981400900892,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
67,amazon_east_west_cont_1,16,C,7235178496,25,10,79616000,62.2,10,25,32,451.9420138423855,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
68,amazon_east_west_cont_1,17,I,4180676608,200,10,79616000,62.2,10,5,32,648.3147970767751,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
69,amazon_east_west_cont_1,17,I,7235178496,25,10,79616000,62.2,15,25,32,591.7599623579201,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
70,amazon_east_west_cont_1,17,C,4180676608,200,10,79616000,62.2,10,5,32,228.18858569617865,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
71,amazon_east_west_cont_1,17,C,7235178496,25,10,79616000,62.2,15,25,32,460.8041812855734,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
72,amazon_east_west_cont_1,18,I,4180676608,200,10,79616000,62.2,10,5,32,641.9085625063677,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
73,amazon_east_west_cont_1,18,I,7235178496,25,10,79616000,62.2,20,25,32,592.9241383882246,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
74,amazon_east_west_cont_1,18,C,4180676608,200,10,79616000,62.2,10,5,32,228.18114762146527,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
75,amazon_east_west_cont_1,18,C,7235178496,25,10,79616000,62.2,20,25,32,487.16456331527644,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
76,amazon_east_west_cont_1,19,I,4180676608,200,10,79616000,62.2,15,5,32,673.7718083324077,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
77,amazon_east_west_cont_1,19,I,7235178496,25,10,79616000,62.2,10,5,32,586.8320813163738,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
78,amazon_east_west_cont_1,19,C,4180676608,200,10,79616000,62.2,15,5,32,360.5995796600434,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
79,amazon_east_west_cont_1,19,C,7235178496,25,10,79616000,62.2,10,5,32,401.94958703971366,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
80,amazon_east_west_cont_1,20,I,4180676608,200,10,79616000,62.2,15,5,32,674.1012773623139,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
81,amazon_east_west_cont_1,20,I,7235178496,25,10,79616000,62.2,20,5,32,592.8391024874019,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
82,amazon_east_west_cont_1,20,C,4180676608,200,10,79616000,62.2,15,5,32,269.23410840337465,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
83,amazon_east_west_cont_1,20,C,7235178496,25,10,79616000,62.2,20,5,32,394.18299322033045,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
84,amazon_east_west_cont_1,21,I,4180676608,200,10,79616000,62.2,15,5,32,665.0407163194478,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
85,amazon_east_west_cont_1,21,I,7235178496,25,10,79616000,62.2,25,5,32,585.7095823450055,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
86,amazon_east_west_cont_1,21,C,4180676608,200,10,79616000,62.2,15,5,32,260.69777791931267,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
87,amazon_east_west_cont_1,21,C,7235178496,25,10,79616000,62.2,25,5,32,394.1681534269721,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
88,amazon_east_west_cont_1,22,I,4180676608,200,10,79616000,62.2,15,5,32,674.2864129094144,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
89,amazon_east_west_cont_1,22,I,7235178496,25,10,79616000,62.2,5,10,32,572.0794698308206,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
90,amazon_east_west_cont_1,22,C,4180676608,200,10,79616000,62.2,15,5,32,388.3109915024045,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
91,amazon_east_west_cont_1,22,C,7235178496,25,10,79616000,62.2,5,10,32,383.4025162318862,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
92,amazon_east_west_cont_1,23,I,4180676608,200,10,79616000,62.2,15,5,32,668.8114468230724,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
93,amazon_east_west_cont_1,23,I,7235178496,25,10,79616000,62.2,15,10,32,592.9111316746335,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
94,amazon_east_west_cont_1,23,C,4180676608,200,10,79616000,62.2,15,5,32,239.03590895931816,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
95,amazon_east_west_cont_1,23,C,7235178496,25,10,79616000,62.2,15,10,32,399.6965203500734,ec2-184-72-88-209.compute-1.amazonaws.com,ec2-54-153-118-120.us-west-1.compute.amazonaws.com
